Referee           ,Apps ,fouls_pg ,Fouls/Tackles ,pen_pg ,yel_pg ,yel ,red_pg ,red
Anthony Taylor    ,  27 ,   21.26 ,         0.60 ,  0.52 ,  4.81 ,130 ,  0.15 ,  4
Paul Tierney      ,  25 ,   21.80 ,         0.64 ,  0.20 ,  3.52 , 88 ,  0.12 ,  3
Simon Hooper      ,  25 ,   22.40 ,         0.65 ,  0.08 ,  4.44 ,111 ,  0.12 ,  3
Michael Oliver    ,  24 ,   21.17 ,         0.58 ,  0.25 ,  3.96 , 95 ,  0.21 ,  5
Andy Madley       ,  23 ,   22.78 ,         0.63 ,  0.04 ,  3.78 , 87 ,  0.09 ,  2
John Brooks       ,  22 ,   21.86 ,         0.61 ,  0.32 ,  4.00 , 88 ,  0.18 ,  4
Robert Jones      ,  22 ,   23.18 ,         0.69 ,  0.27 ,  4.32 , 95 ,  0.23 ,  5
Tim Robinson      ,  21 ,   23.05 ,         0.70 ,  0.29 ,  4.24 , 89 ,  0.00 ,  0
Jarred Gillett    ,  21 ,   20.81 ,         0.56 ,  0.33 ,  4.57 , 96 ,  0.10 ,  2
Chris Kavanagh    ,  20 ,   21.65 ,         0.53 ,  0.45 ,  3.90 , 78 ,  0.20 ,  4
Craig Pawson      ,  19 ,   21.89 ,         0.67 ,  0.37 ,  4.42 , 84 ,  0.16 ,  3
Stuart Attwell    ,  17 ,   20.71 ,         0.58 ,  0.18 ,  4.35 , 74 ,  0.24 ,  4
David Coote       ,  16 ,   24.69 ,         0.69 ,  0.31 ,  5.19 , 83 ,  0.19 ,  3
Samuel Barrott    ,  15 ,   20.13 ,         0.63 ,  0.20 ,  3.13 , 47 ,  0.07 ,  1
Michael Salisbury ,  14 ,   23.79 ,         0.68 ,  0.71 ,  3.86 , 54 ,  0.21 ,  3
Darren England    ,  12 ,   22.33 ,         0.65 ,  0.17 ,  4.83 , 58 ,  0.08 ,  1
Thomas Bramall    ,  11 ,   24.64 ,         0.65 ,  0.27 ,  4.91 , 54 ,  0.27 ,  3
Peter Bankes      ,  10 ,   21.30 ,         0.60 ,  0.10 ,  4.90 , 49 ,  0.10 ,  1
Tony Harrington   ,  10 ,   21.70 ,         0.55 ,  0.50 ,  3.70 , 37 ,  0.10 ,  1
Graham Scott      ,   6 ,   17.50 ,         0.46 ,  0.00 ,  2.83 , 17 ,  0.00 ,  0
Darren Bond       ,   5 ,   20.80 ,         0.68 ,  0.40 ,  4.40 , 22 ,  0.40 ,  2
Josh Smith        ,   4 ,   23.25 ,         0.77 ,  0.25 ,  3.75 , 15 ,  0.50 ,  2
Sam Allison       ,   3 ,   25.33 ,         0.74 ,  0.00 ,  3.67 , 11 ,  0.00 ,  0
Matt Donohue      ,   2 ,   31.50 ,         1.05 ,  0.50 ,  6.50 , 13 ,  0.00 ,  0
Lewis Smith       ,   2 ,   19.50 ,         0.75 ,  0.50 ,  5.50 , 11 ,  0.50 ,  1
Rebecca Welch     ,   2 ,   26.50 ,         0.69 ,  0.00 ,  4.00 ,  8 ,  0.50 ,  1
Robert Madley     ,   1 ,   19.00 ,         0.43 ,  0.00 ,  3.00 ,  3 ,  0.00 ,  0
Sunny Singh       ,   1 ,   31.00 ,         0.94 ,  0.00 ,  5.00 ,  5 ,  0.00 ,  0
